id,name,type1,type2,base_hp,base_atk,base_def,base_spa,base_spd,base_spe,sprite_key
466,Electivire,ELECTRIC,,75,123,67,95,85,95,466
467,Magmortar,FIRE,,75,95,67,125,95,83,467
468,Togekiss,FAIRY,FLYING,85,50,95,120,115,80,468
469,Yanmega,BUG,FLYING,86,76,86,116,56,95,469
470,Leafeon,GRASS,,65,110,130,60,65,95,470
471,Glaceon,ICE,,65,60,110,130,95,65,471
472,Gliscor,GROUND,FLYING,75,95,125,45,75,95,472
473,Mamoswine,ICE,GROUND,110,130,80,70,60,80,473
474,Porygon-Z,NORMAL,,85,80,70,135,75,90,474
475,Gallade,PSYCHIC,FIGHTING,68,125,65,65,115,80,475
476,Probopass,ROCK,STEEL,60,55,145,75,150,40,476
477,Dusknoir,GHOST,,45,100,135,65,135,45,477
478,Froslass,ICE,GHOST,70,80,70,80,70,110,478
479,Rotom,ELECTRIC,GHOST,50,50,77,95,77,91,479
480,Uxie,PSYCHIC,,75,75,130,75,130,95,480
481,Mesprit,PSYCHIC,,80,105,105,105,105,80,481
482,Azelf,PSYCHIC,,75,125,70,125,70,115,482
483,Dialga,STEEL,DRAGON,100,120,120,150,100,90,483
484,Palkia,WATER,DRAGON,90,120,100,150,120,100,484
485,Heatran,FIRE,STEEL,91,90,106,130,106,77,485
486,Regigigas,NORMAL,,110,160,110,80,110,100,486
487,Giratina,GHOST,DRAGON,150,100,120,100,120,90,487
488,Cresselia,PSYCHIC,,120,70,110,75,120,85,488
489,Phione,WATER,,80,80,80,80,80,80,489
490,Manaphy,WATER,,100,100,100,100,100,100,490
491,Darkrai,DARK,,70,90,90,135,90,125,491
492,Shaymin,GRASS,,100,100,100,100,100,100,492
493,Arceus,NORMAL,,120,120,120,120,120,120,493
